qseqid	tool	Protein names	Gene Ontology (GO)	EC number	Pfam
tr|U2IY26|U2IY26_9SPHI	UPIMAPI	TonB-dependent receptor plug domain-containing protein	cell outer membrane [GO:0009279]; carbohydrate binding [GO:0030246]		PF13620;
tr|U2B7G9|U2B7G9_9PSED	UPIMAPI	Replication initiation factor			
tr|U1R3B8|U1R3B8_9PAST	UPIMAPI	Divergent polysaccharide deacetylase	carbohydrate metabolic process [GO:0005975]		PF04748;
tr|T0T0S1|T0T0S1_9BACT	UPIMAPI	Bacterial group 3 Ig-like protein	cytoplasmic vesicle [GO:0031410]; membrane [GO:0016020]		PF22352;
tr|S9SLW8|S9SLW8_PAEAL	UPIMAPI	Uncharacterized protein			PF10282;
tr|S9NVF1|S9NVF1_CYSF2	UPIMAPI	Branched-chain amino acid ABC transporter, amino acid-binding protein	amino acid transport [GO:0006865]		PF13458;
tr|S8FBS3|S8FBS3_9BACT	UPIMAPI	TonB-linked outer membrane protein, SusC/RagA family	cell outer membrane [GO:0009279]		PF13715;PF07715;PF00593;
tr|S7V5F0|S7V5F0_DESML	UPIMAPI	NADH ubiquinone oxidoreductase 20 kDa subunit	periplasmic space [GO:0042597]; iron-sulfur cluster binding [GO:0051536]; oxidoreductase activity [GO:0016491]		PF01058;
tr|S7USU4|S7USU4_9BACT	UPIMAPI	Alcohol dehydrogenase GroES domain protein	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]		PF08240;PF00107;
tr|S7U5D2|S7U5D2_9BACT	UPIMAPI	ABC transporter substrate binding protein			PF13458;
tr|S7U4F1|S7U4F1_9BACT	UPIMAPI	Iron-containing alcohol dehydrogenase	alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]		PF00465;
tr|S7TYS9|S7TYS9_DESML	UPIMAPI	NADH:ubiquinone oxidoreductase, subunit G, iron-sulfur binding protein	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]		PF13510;PF10588;PF22117;
tr|S7TWR2|S7TWR2_DESML	UPIMAPI	Iron-containing alcohol dehydrogenase	alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]		PF00465;
tr|S5ZUP1|S5ZUP1_9CREN	UPIMAPI	ABC transporter substrate-binding protein	membrane [GO:0016020]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|S5ZRV8|S5ZRV8_9SPIR	UPIMAPI	Iron ABC transporter substrate-binding protein	cellular response to iron ion [GO:0071281]		PF01497;
tr|S5M928|S5M928_9CAUD	UPIMAPI	Major capsid protein	membrane [GO:0016020]		PF17236;
tr|S5DQP2|S5DQP2_9ACTN	UPIMAPI	MedDCM-OCT-S27-C38-cds12 (MedDCM-OCT-S31-C40-cds12)	cytoplasm [GO:0005737]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]		PF00226;PF01556;
tr|S5DNW6|S5DNW6_9ACTN	UPIMAPI	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]		PF00012;
tr|S5DM28|S5DM28_9ACTN	UPIMAPI	Pentose-5-phosphate-3-epimerase	racemase and epimerase activity, acting on carbohydrates and derivatives [GO:0016857]; carbohydrate metabolic process [GO:0005975]		PF00834;
tr|S3X5J4|S3X5J4_9ACTN	UPIMAPI	Propanediol utilization protein PduA	bacterial microcompartment [GO:0031469]		PF00936;
tr|S3WQV2|S3WQV2_9ACTN	UPIMAPI	Succinate dehydrogenase iron-sulfur subunit	2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; respiratory electron transport chain [GO:0022904]		PF13085;PF12838;
tr|S3N6N9|S3N6N9_9GAMM	UPIMAPI	Secretin/TonB short N-terminal domain-containing protein	cell outer membrane [GO:0009279]; siderophore-dependent iron import into cell [GO:0033214]		PF07715;PF07660;PF00593;
tr|S2E8V6|S2E8V6_INDAL	UPIMAPI	Bor protein			PF06291;
tr|S2DF40|S2DF40_INDAL	UPIMAPI	PKD domain-containing protein	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]		PF18483;PF13585;PF18911;PF13573;
tr|S2D9A2|S2D9A2_INDAL	UPIMAPI	TonB-dependent receptor	cell outer membrane [GO:0009279]		PF13620;
tr|S1NYY8|S1NYY8_9ENTE	UPIMAPI	Pyruvate carboxylase (EC 6.4.1.1)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; pyruvate carboxylase activity [GO:0004736]; gluconeogenesis [GO:0006094]; pyruvate metabolic process [GO:0006090]	6.4.1.1	PF02785;PF00289;PF00364;PF02786;PF00682;PF02436;
tr|S1NWB0|S1NWB0_9ENTE	UPIMAPI	alanine transaminase (EC 2.6.1.2)	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; biosynthetic process [GO:0009058]	2.6.1.2	PF00155;
tr|S1NI13|S1NI13_9ENTE	UPIMAPI	Uncharacterized protein			PF22507;
tr|S1NE10|S1NE10_9ENTE	UPIMAPI	Formate--tetrahydrofolate ligase (EC 6.3.4.3) (Formyltetrahydrofolate synthetase) (FHS) (FTHFS)	ATP binding [GO:0005524]; formate-tetrahydrofolate ligase activity [GO:0004329]; tetrahydrofolate interconversion [GO:0035999]	6.3.4.3	PF01268;
tr|S0PBP9|S0PBP9_9ENTE	UPIMAPI	non-specific serine/threonine protein kinase (EC 2.7.11.1)	membrane [GO:0016020]; 3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]	2.7.11.1	PF03793;PF00069;
tr|S0KXL5|S0KXL5_9ENTE	UPIMAPI	Calcium-translocating P-type ATPase, PMCA-type	membrane [GO:0016020]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]		PF00689;PF00690;PF00122;PF00702;
tr|S0GTY4|S0GTY4_9BACT	UPIMAPI	SusC/RagA family TonB-linked outer membrane protein	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13715;PF07715;PF00593;
tr|S0GS27|S0GS27_9BACT	UPIMAPI	SusC/RagA family TonB-linked outer membrane protein	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13715;PF07715;PF07660;PF00593;
tr|S0GP50|S0GP50_9BACT	UPIMAPI	DUF6383 domain-containing protein			PF19910;
tr|S0GNQ5|S0GNQ5_9BACT	UPIMAPI	DUF6383 domain-containing protein			PF19910;
tr|S0GNB7|S0GNB7_9BACT	UPIMAPI	RagB/SusD family nutrient uptake outer membrane protein	cell outer membrane [GO:0009279]		PF14322;PF07980;
tr|S0G508|S0G508_9BACT	UPIMAPI	General L-amino acid ABC transport system, substrate-binding component AapJ	amino acid transport [GO:0006865]		PF00497;
tr|S0FUD1|S0FUD1_RUMCE	UPIMAPI	ABC-type sugar transport system, periplasmic component			
tr|S0F203|S0F203_SALET	UPIMAPI	DUF1205 domain-containing protein (Glycosyltransferase)	hexosyltransferase activity [GO:0016758]; UDP-glycosyltransferase activity [GO:0008194]; antibiotic biosynthetic process [GO:0017000]		PF06722;PF21036;
tr|S0EX61|S0EX61_CHTCT	UPIMAPI	Alpha-amylase (EC 3.2.1.1)	hydrolase activity, acting on glycosyl bonds [GO:0016798]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	3.2.1.1	PF00128;
tr|S0EWK0|S0EWK0_CHTCT	UPIMAPI	S-layer homology domain			PF00395;
tr|R9LC79|R9LC79_9FIRM	UPIMAPI	Periplasmic binding protein domain-containing protein	outer membrane-bounded periplasmic space [GO:0030288]; carbohydrate binding [GO:0030246]		PF13407;
tr|R9L4G3|R9L4G3_9BACL	UPIMAPI	Beta-propeller repeat protein			PF01391;PF06739;
tr|R9I8A2|R9I8A2_9BACT	UPIMAPI	Translocation/assembly module TamB	plasma membrane [GO:0005886]; protein secretion [GO:0009306]; regulation of protein targeting to membrane [GO:0090313]		PF04357;
tr|R9HHB2|R9HHB2_BACT4	UPIMAPI	Surface protein			
tr|R9H3X4|R9H3X4_9SPHI	UPIMAPI	Putative outer membrane protein	cell outer membrane [GO:0009279]		PF13715;PF07715;PF00593;
tr|R9GY12|R9GY12_9SPHI	UPIMAPI	TonB-dependent receptor	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13620;
tr|R9GLJ3|R9GLJ3_9SPHI	UPIMAPI	Uncharacterized protein			PF12771;
tr|R8W0F3|R8W0F3_9FIRM	UPIMAPI	Putative carboxysome-like ethanolaminosome structural protein, ethanolamine utilization protein	bacterial microcompartment [GO:0031469]		PF00936;
tr|R7XE79|R7XE79_9BURK	UPIMAPI	Type IV pilus assembly protein, tip-associated adhesin PilY1	pilus [GO:0009289]; metal ion binding [GO:0046872]		PF05567;
tr|R7MUF0|R7MUF0_MEGEL	UPIMAPI	Acyl-CoA dehydrogenase	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]		PF00441;PF02770;PF02771;
tr|R6YHM3|R6YHM3_9FIRM	UPIMAPI	ABC transporter substrate-binding protein family 5	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|R6XH07|R6XH07_9BACT	UPIMAPI	PEGA domain protein			PF08308;
tr|R6NFR6|R6NFR6_9FIRM	UPIMAPI	ABC transporter solute-binding protein			PF13416;
tr|R6LIJ9|R6LIJ9_9FIRM	UPIMAPI	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	cytoplasm [GO:0005737]; O-phospho-L-serine:2-oxoglutarate aminotransferase activity [GO:0004648]; pyridoxal phosphate binding [GO:0030170]; L-serine biosynthetic process [GO:0006564]	2.6.1.52	PF00266;
tr|R6FLJ1|R6FLJ1_9BACE	UPIMAPI	RagB/SusD family nutrient uptake outer membrane protein	cell outer membrane [GO:0009279]		PF14322;PF07980;
tr|R6DUF5|R6DUF5_9FIRM	UPIMAPI	Ribonuclease III	bacterial microcompartment [GO:0031469]		PF00936;
tr|R6D3U3|R6D3U3_9BACE	UPIMAPI	Outer membrane receptor proteins mostly Fe transport	cell outer membrane [GO:0009279]		PF13715;PF07715;PF00593;
tr|R6C9X5|R6C9X5_9CLOT	UPIMAPI	Bacterial extracellular solute-binding protein family 5	peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|R6BR61|R6BR61_9CLOT	UPIMAPI	Solute-binding protein family 5 domain-containing protein	ATP-binding cassette (ABC) transporter complex [GO:0043190]; cell envelope [GO:0030313]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|R6AW96|R6AW96_9CLOT	UPIMAPI	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	cytoplasm [GO:0005737]; O-phospho-L-serine:2-oxoglutarate aminotransferase activity [GO:0004648]; pyridoxal phosphate binding [GO:0030170]; L-serine biosynthetic process [GO:0006564]	2.6.1.52	PF00266;
tr|R5YUA2|R5YUA2_9FIRM	UPIMAPI	Fructose-1,6-bisphosphate aldolase, class II	fructose-bisphosphate aldolase activity [GO:0004332]; zinc ion binding [GO:0008270]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; glycolytic process [GO:0006096]		PF01116;
tr|R5VY39|R5VY39_9BACT	UPIMAPI	TonB-dependent receptor plug domain-containing protein	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13620;
tr|R5TPD2|R5TPD2_9FIRM	UPIMAPI	Solute-binding protein family 5 domain-containing protein	ATP-binding cassette (ABC) transporter complex [GO:0043190]; cell envelope [GO:0030313]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|R5PN61|R5PN61_9BACT	UPIMAPI	SusC/RagA family TonB-linked outer membrane protein	cell outer membrane [GO:0009279]		PF13715;PF07715;PF00593;
tr|R5P4E8|R5P4E8_9BACT	UPIMAPI	RagB/SusD family nutrient uptake outer membrane protein	cell outer membrane [GO:0009279]		PF14322;PF07980;
tr|R5KG11|R5KG11_9BACT	UPIMAPI	Pectate lyase	extracellular region [GO:0005576]; alpha-galactosidase activity [GO:0004557]; pectate lyase activity [GO:0030570]; polysaccharide catabolic process [GO:0000272]		PF00544;
tr|R5IYI9|R5IYI9_9FIRM	UPIMAPI	Basic membrane protein	plasma membrane [GO:0005886]		PF02608;
tr|R5IUY3|R5IUY3_9FIRM	UPIMAPI	Uncharacterized protein			PF13360;
tr|R5IUB2|R5IUB2_9FIRM	UPIMAPI	D-galactose/methyl-galactoside binding periplasmic protein MglB	outer membrane-bounded periplasmic space [GO:0030288]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]		PF13407;
tr|R5IHQ8|R5IHQ8_9FIRM	UPIMAPI	Solute-binding protein family 5 domain-containing protein	peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|R5EDR2|R5EDR2_9FIRM	UPIMAPI	ABC transporter substrate binding protein	peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|R5CL47|R5CL47_9FIRM	UPIMAPI	Extracellular solute-binding protein family 1			
tr|R5C908|R5C908_9FIRM	UPIMAPI	Sugar ABC transporter substrate-binding protein	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; maltose binding [GO:1901982]; maltodextrin transmembrane transport [GO:0042956]; maltose transport [GO:0015768]		PF13416;
tr|R5BCC1|R5BCC1_9CLOT	UPIMAPI	Solute-binding protein family 5 domain-containing protein	ATP-binding cassette (ABC) transporter complex [GO:0043190]; cell envelope [GO:0030313]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|R5B677|R5B677_9CLOT	UPIMAPI	Glycine reductase complex component B alpha and beta	oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond, with a disulfide as acceptor [GO:0050485]		PF09338;
tr|R5B543|R5B543_9CLOT	UPIMAPI	Elongation factor Tu (EF-Tu)	cytosol [GO:0005829]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]		PF00009;PF03144;PF03143;
tr|R5AUK8|R5AUK8_9CLOT	UPIMAPI	Fructose-1 6-bisphosphate aldolase class II	fructose-bisphosphate aldolase activity [GO:0004332]; zinc ion binding [GO:0008270]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; glycolytic process [GO:0006096]		PF01116;
tr|R5AN25|R5AN25_9CLOT	UPIMAPI	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; isomerase activity [GO:0016853]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]	5.6.1.7	PF00118;
tr|R5AJ49|R5AJ49_9CLOT	UPIMAPI	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; glucose metabolic process [GO:0006006]	1.2.1.-	PF02800;PF00044;
tr|R5AIL1|R5AIL1_9CLOT	UPIMAPI	Extracellular solute-binding protein family 5	peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		
tr|R5A6U0|R5A6U0_9CLOT	UPIMAPI	Cadherin-like beta sandwich domain protein	membrane [GO:0016020]; carbohydrate binding [GO:0030246]; polysaccharide catabolic process [GO:0000272]		PF12733;PF00963;
tr|R4XB98|R4XB98_TAPDE	UPIMAPI	Alkaline phytoceramidase	endoplasmic reticulum membrane [GO:0005789]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; ceramide biosynthetic process [GO:0046513]; ceramide catabolic process [GO:0046514]		PF05875;
tr|R4R8A7|R4R8A7_9BACT	UPIMAPI	Putative nitrite reductase			PF02239;
tr|R4NED8|R4NED8_CLOBO	UPIMAPI	Phage integrase family site-specific recombinase	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]		
tr|R4G6B0|R4G6B0_9BACL	UPIMAPI	Alpha-amylase	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; metal ion binding [GO:0046872]; starch binding [GO:2001070]; carbohydrate metabolic process [GO:0005975]		PF00128;PF22026;PF16561;PF00395;PF22058;
tr|R4G013|R4G013_9BACL	UPIMAPI	S8/S53 family peptidase	extracellular region [GO:0005576]; membrane [GO:0016020]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]		PF06280;PF09136;PF02225;PF00082;
tr|R2QVW8|R2QVW8_9ENTE	UPIMAPI	Aconitate hydratase (Aconitase) (EC 4.2.1.3)	4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; metal ion binding [GO:0046872]; tricarboxylic acid cycle [GO:0006099]	4.2.1.3	PF00330;PF00694;
tr|R2QTP1|R2QTP1_9ENTE	UPIMAPI	ATP-dependent Clp protease ATP-binding subunit ClpE	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; peptidase activity [GO:0008233]; cellular response to heat [GO:0034605]; proteolysis [GO:0006508]		PF00004;PF07724;PF17871;PF10431;
tr|R1CUK3|R1CUK3_9FIRM	UPIMAPI	DNA-binding protein HBsu	DNA binding [GO:0003677]; structural constituent of chromatin [GO:0030527]; chromosome condensation [GO:0030261]		PF00216;
tr|R1CU03|R1CU03_9FIRM	UPIMAPI	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; isomerase activity [GO:0016853]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]	5.6.1.7	PF00118;
tr|R1CSD5|R1CSD5_9FIRM	UPIMAPI	Glycine/sarcosine/betaine reductase component C chain 1	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid biosynthetic process [GO:0006633]		PF08545;PF19364;
tr|R1CP65|R1CP65_9FIRM	UPIMAPI	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA	ATP-binding cassette (ABC) transporter complex [GO:0043190]; cell envelope [GO:0030313]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|R1CI03|R1CI03_9FIRM	UPIMAPI	3-aminobutyryl-CoA ammonia-lyase	hydrolase activity [GO:0016787]; lyase activity [GO:0016829]		PF03061;
tr|R1CBC8|R1CBC8_9FIRM	UPIMAPI	Glycine reductase component B gamma subunit (EC 1.21.4.2)	glycine reductase complex [GO:0030700]; glycine reductase activity [GO:0030699]	1.21.4.2	PF07355;
tr|R1ASS6|R1ASS6_9FIRM	UPIMAPI	Stage V sporulation protein (SpoVS)	nucleic acid binding [GO:0003676]		PF04232;
tr|R1ASI4|R1ASI4_9FIRM	UPIMAPI	Glycine reductase component B beta subunit / Glycine reductase component B alpha subunit (EC 1.21.4.2)	glycine reductase activity [GO:0030699]	1.21.4.2	PF09338;
tr|Q9Z428|Q9Z428_PSEPU	UPIMAPI	Metapyrocatechase (EC 1.13.11.2) (CatO2ase) (Catechol 2,3-dioxygenase)	catechol 2,3-dioxygenase activity [GO:0018577]; ferrous iron binding [GO:0008198]; catabolic process [GO:0009056]	1.13.11.2	PF22247;PF00903;
tr|Q9XDA2|Q9XDA2_THECU	UPIMAPI	Putative maltose binding protein	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; carbohydrate transmembrane transporter activity [GO:0015144]; maltose binding [GO:1901982]; maltodextrin transmembrane transport [GO:0042956]; maltose transport [GO:0015768]		PF13416;
tr|Q9WXS6|Q9WXS6_THEMA	UPIMAPI	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|Q9RLP3|Q9RLP3_MYCTX	UPIMAPI	Membrane protein (Membrane transport protein mmpL8) (Transmembrane transport protein MmpL14)	plasma membrane [GO:0005886]; glycosyltransferase activity [GO:0016757]		PF03176;
tr|Q9R9Z6|Q9R9Z6_PSEPU	UPIMAPI	Toluate 1,2 dioxygenase subunit (Toluate 1.2-dioxygenase alpha subunit)	2 iron, 2 sulfur cluster binding [GO:0051537]; dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; catabolic process [GO:0009056]		PF00355;PF00848;
tr|Q9AVP6|Q9AVP6_VICFA	UPIMAPI	Plasma membrane ATPase (EC 7.1.2.1)	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; P-type proton-exporting transporter activity [GO:0008553]; proton export across plasma membrane [GO:0120029]	7.1.2.1	PF00690;PF00122;PF00702;
tr|Q9AEM3|Q9AEM3_CLODI	UPIMAPI	S-layer protein			PF04122;PF12211;
tr|Q9AE02|Q9AE02_AMYMD	UPIMAPI	Putative 3-(3-hydroxylphenyl) propionate hydroxylase	3-(3-hydroxyphenyl)propionate hydroxylase activity [GO:0008688]; FAD binding [GO:0071949]; 3-(3-hydroxy)phenylpropionate catabolic process [GO:0019622]		PF01494;
tr|Q93EU5|Q93EU5_9BACT	UPIMAPI	Dissimilatory sulfite reductase alpha subunit	4 iron, 4 sulfur cluster binding [GO:0051539]; dissimilatory sulfite reductase activity [GO:0018551]; heme binding [GO:0020037]; metal ion binding [GO:0046872]		PF01077;
tr|Q93EU4|Q93EU4_9BACT	UPIMAPI	Dissimilatory sulfite reductase beta subunit	sulfite reductase complex (NADPH) [GO:0009337]; 4 iron, 4 sulfur cluster binding [GO:0051539]; dissimilatory sulfite reductase activity [GO:0018551]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; sulfite reductase (ferredoxin) activity [GO:0050311]; sulfite reductase activity [GO:0016002]; sulfate assimilation [GO:0000103]		PF01077;PF03460;
